架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O2,300,算法2_展开,0.000023
x86_64,O2,400,算法1,0.000087
x86_64,O2,400,算法1_展开,0.000068
x86_64,O2,400,算法2,0.000047
x86_64,O2,400,算法2_展开,0.000039
x86_64,O2,500,算法1,0.000167
x86_64,O2,500,算法1_展开,0.000139
x86_64,O2,500,算法2,0.000073
x86_64,O2,500,算法2_展开,0.000061
x86_64,O2,600,算法1,0.000238
x86_64,O2,600,算法1_展开,0.000245
x86_64,O2,600,算法2,0.000127
x86_64,O2,600,算法2_展开,0.000093
x86_64,O2,700,算法1,0.000358
x86_64,O2,700,算法1_展开,0.000334
x86_64,O2,700,算法2,0.000163
x86_64,O2,700,算法2_展开,0.000119
x86_64,O2,800,算法1,0.000747
x86_64,O2,800,算法1_展开,0.000672
x86_64,O2,800,算法2,0.000189
x86_64,O2,800,算法2_展开,0.000287
x86_64,O2,900,算法1,0.000829
x86_64,O2,900,算法1_展开,0.001022
x86_64,O2,900,算法2,0.000291
x86_64,O2,900,算法2_展开,0.000345
x86_64,O2,1000,算法1,0.001458
x86_64,O2,1000,算法1_展开,0.001008
x86_64,O2,1000,算法2,0.000547
x86_64,O2,1000,算法2_展开,0.000295
x86_64,O2,1100,算法1,0.002175
x86_64,O2,1100,算法1_展开,0.002441
x86_64,O2,1100,算法2,0.000700
x86_64,O2,1100,算法2_展开,0.000361
x86_64,O2,1200,算法1,0.002817
x86_64,O2,1200,算法1_展开,0.001955
x86_64,O2,1200,算法2,0.000985
x86_64,O2,1200,算法2_展开,0.000523
x86_64,O2,1300,算法1,0.003433
x86_64,O2,1300,算法1_展开,0.003637
x86_64,O2,1300,算法2,0.001299
x86_64,O2,1300,算法2_展开,0.001288
x86_64,O2,1400,算法1,0.004300
x86_64,O2,1400,算法1_展开,0.003807
x86_64,O2,1400,算法2,0.001662
x86_64,O2,1400,算法2_展开,0.001521
x86_64,O2,1500,算法1,0.005010
